Candidate,Comments,Translated,User,Date,Time
Leni Robredo,"VP Leni's star shines brightest in this debate! Galing! Other candidates promise pa lang pero si VP Leni nagawa na. Dati kapag bumoboto ako, nadi-disappoint talaga ako kasi napaniwala nila ako sa salita. Pero sa huli, corrupt din pala. Pero sa history ng pagboto ko, kay Leni yung pinakasulit. Ang dami niyang resibo ng mga gawa niya! Kulang ang ninety seconds para ilatag niya yung mga projects niya kaya nag ala-Niki Minaj si VP sa pag rap hahaha!?","VP Leni�s star shines brightest in this debate! Great! Other candidates are just promises but VP Leni has already done it. Before, when I vote, I get really disappointed because they made me believe in their words. But in the end, they�re also corrupt. But in my voting history, Leni is the most worth it. She has a lot of receipts of her work! Ninety seconds is not enough for her to lay out her projects so VP turned into Niki Minaj in rapping haha!",@christianrexmiroy5934?,2/28/2022,4:47 AM
Leni Robredo,LET �LENI �LEAD �2022?,Let Leni lead 2022.,@aquinodauz8971?,2/28/2022,4:30 AM
Leni Robredo,????LENI IS MY PRESIDENT?????,Leni is my president.,@arghvl7141?,2/28/2022,4:31 AM
Leni Robredo,Leni kung mahalaga ang debate why you didn�t attend the SMNI debate which is a debate for the brilliant people ??????????,"Leni, if debates are important, why didn�t you attend the SMNI debate which is a debate for the brilliant people?",@daisyorteza?,2/28/2022,4:32 AM
Leni Robredo,May napansin lang ako pede pla kodiko binabasa ni Leni hmm mukhang may advance ????,"I just noticed something, Leni can read codes, hmm, looks like there�s an advance.",@albertmontancestv9461,2/28/2022,4:36 AM
Leody De Guzman,ganu kaimportante ang presdential debate??ito naman si ka leody ikakapanalo mo ba yan?halata tlga mga to may galit sa mga katunggali..love not hate..ilang buwan lang matatapos na ang halalan..imbes na magsiraan bakit not to show love..may karapatan din naman si bbm na d pumunta kapag ayaw niya..,"How important is the presidential debate? This Ka Leody, will that make you win? It�s obvious these people hold grudges against their rivals. Love, not hate. The election will be over in a few months. Instead of slandering each other, why not show love? BBM also has the right not to attend if he doesn�t want to.",@nurseinday7532,2/28/2022,3:01 AM
Leody De Guzman,Itong leody na ito kaya ito hende umaangat ng survey kulilat lage..asan ang patunay mo na ninakaw ni bbm..sa cavan ng bayan....si marcos walang ninakaw sinisiraan niyo lang ...kung may ninakaw saan ng patunay mo...leody?,"This Leody, this is why he�s not rising in the surveys, always at the bottom. Where�s your proof that BBM stole from the nation�s treasury? Marcos didn�t steal anything, you�re just defaming him. If there was theft, where�s your proof, Leody?",@jhoebetheugenio1207,2/28/2022,3:55 AM
Leody De Guzman,"Ka Leody, sabi mo nasa bahay kalang nung time na naglockdown, so you don't really know, nor did you understand why the President did what he did. Wala ka na ngang napatunayan, nagnga nga kapa dyan. lol?","Ka Leody, you said you were just at home during the lockdown, so you don�t really know, nor did you understand why the President did what he did. You haven�t proven anything, you�re just blabbering there. lol?",@jmmoreno8099,2/28/2022,4:43 AM
Leody De Guzman,Ka leody you�re going out of the question ???,"Ka Leody, you�re going out of the question.",@daisyorteza,2/28/2022,4:53 AM
Leody De Guzman,"KaLeody hindi ako nniniwala na tatakbo sya sa PagkaPangulo nhahalata ko ksi nninira sya sa isang kandidato, sumali lang sya pra may iba syang ippanalong kandidato sa pagkapangulo.?","KaLeody, I don�t believe that he will run for President. I can tell because he�s slandering a candidate. He only joined to support another candidate for president.",@haroldarguelles5663,2/28/2022,4:54 AM
Leody De Guzman,Montemayor proxy daw ni marcos sabi ni ka leody hahaha?,"Montemayor is said to be a proxy of Marcos according to Ka Leody, haha!",@Johnapacible6352,2/28/2022,5:29 AM
Leody De Guzman,"Harsh talaga masyado si Ka Leody, NPA na NPA ang dating.","Ka Leody is really harsh, he comes off as an NPA.",@practicalelectricity5618,2/28/2022,5:32 AM
Manny Pacquiao,if manny wins the rise of the philippines is secure and its corruptness will cease to exist,if manny wins the rise of the philippines is secure and its corruptness will cease to exist,Yerffej Mor,3/1/2022,10:00 PM
Manny Pacquiao,Im still team Pacquiao in this upcoming election,im still team pacquiao in this upcoming election,Joel Quiawan Gula,2/11/2022,6:40 AM
Manny Pacquiao,"Manny Pacquiao for next president, he has a good heart and helpful for others",im still team pacquiao in this upcoming election,Andy Espada,2/11/2022,6:50 AM
Manny Pacquiao,Senator many you really are the hope for poor people like me,senator many you really are the hope for poor people like me,Magdaleno Suarez,2/11/2022,10:37 PM
Manny Pacquiao,I hope you win senator,i hope you win senator,Sana maging tayo,2/11/2022,12:00 AM
Manny Pacquiao,"I think he is incompetent. He poses as a religious person but had supported Duterte's murderous regime until they started having political conflict. Also, he promises unattainable goals like ending poverty and corruption in a short time if he wins. So, I don't think he would make a good president.","i think he is incompetent. he poses as a religious person but had supported duterte's murderous regime until they started having political conflict. also, he promises unattainable goals like ending poverty and corruption in a short time if he wins. so, i don't think he would make a good president.",utotomo1223,9/20/2021,2:13 PM
Manny Pacquiao,"God fricking hell, now we're going to be a transphobic person and one of the useless senators in the Philippines running for president.","god fricking hell, now we're going to be a transphobic person and one of the useless senators in the philippines running for president",Bee_Emotional,9/20/2021, 1:10 PM
Manny Pacquiao,"Honestly, whatever progress we had with the divorce law and women�s rights will be nonexistent if he becomes president. It�s important for any politician to emphasize separation of church and state.","honestly, whatever progress we had with the divorce law and women�s rights will be nonexistent if he becomes president. it�s important for any politician to emphasize separation of church and state.",Bored_Schoolgirl,9/20/2021, 1:10 PM
Manny Pacquiao,"At this point, me and my family has given up hope on the Philippine government. They'll take anyone who promises not to murder poor people and sell the nation to China.","at this point, me and my family has given up hope on the philippine government. they'll take anyone who promises not to murder poor people and sell the nation to china.",Obscure_Occultist,9/20/2021,3:30 AM
Manny Pacquiao,"Honestly, on domestic policy he might be even worse, but he's probably better on foreign policy since Duterte seems intent on sucking Xi's dick at every opportunity.","honestly, on domestic policy he might be even worse, but he's probably better on foreign policy since duterte seems intent on sucking xi's dick at every opportunity.",tehBored,9/21/2021,12:30 AM
Manny Pacquiao,"He�s a senator now, won that seat right after the Mayweather fight. He�s really shown how much of a homophobic piece of crap he is.","he�s a senator now, won that seat right after the mayweather fight. he�s really shown how much of a homophobic piece of crap he is.",brentexander,9/19/2021,10:00 PM
Manny Pacquiao,"honestly while a fan I have to say there's a lot of wise boxers out there, but Manny never gave that kind of vibe.","honestly while a fan i have to say there's a lot of wise boxers out there, but manny never gave that kind of vibe.",thalne,9/20/2021,3:40 AM
Manny Pacquiao,He�s a religious nut job. Like is ultra stereotypically religious (and I don�t mean in the whole feeding the poor way but in the h8 crime a gay person way),he�s a religious nut job. like is ultra stereotypically religious (and i don�t mean in the whole feeding the poor way but in the h8 crime a gay person way),macestrogram,9/20/2021,11:40 AM
Manny Pacquiao,"He may be great in the ring, he may be a decent fellow, still the track record for electing celebrities as national rulers, hasn�t been good. I guess the current bar is set low enough that he would have to be really bad not to be better though.","he may be great in the ring, he may be a decent fellow, still the track record for electing celebrities as national rulers, hasn�t been good. i guess the current bar is set low enough that he would have to be really bad not to be better though.",bradley_j,9/20/2021,1:13 PM
Manny Pacquiao,"It�s sad how the sincerity of this man is being mocked endlessly. I understand that he is not eligible for the position because of his lack of knowledge and experience, however, I think this man deserves a bit of respect. It is crazy how most of us think we�re smart enough to ridicule someone like this. He may NOT have our vote for a lot of reasons , but at least let�s give him a credit for his sincerity and genuine interest.","it�s sad how the sincerity of this man is being mocked endlessly. i understand that he is not eligible for the position because of his lack of knowledge and experience, however, i think this man deserves a bit of respect. it is crazy how most of us think we�re smart enough to ridicule someone like this. he may not have our vote for a lot of reasons , but at least let�s give him a credit for his sincerity and genuine interest.",Carren Joy Capablanca Lacay,4/9/2022,10:20 AM
Manny Pacquiao,"I am your avid fan in boxing, you are extraordinary and a pride of our country, you have a kind heart, you can Help the Filipinos in many other ways�but not as President please. Leave a lasting legacy. I hope and pray you Will still change your mind ","i am your avid fan in boxing, you are extraordinary and a pride of our country, you have a kind heart, you can help the filipinos in many other ways�but not as president please. leave a lasting legacy. i hope and pray you will still change your mind ",Avic M. De Castro,9/19/2021,5:20 PM
Manny Pacquiao,"Remember that Pacquiao was allied to this administration and he was never in the opposition. On the other hand, Lacson and Sotto were also not in the opposition as they were tolerant and overlooking the abuses of this administration. Both Pacquiao and Lacson shouldn�t claim that they are against this administration now that an election is coming. It�s self serving.","remember that pacquiao was allied to this administration and he was never in the opposition. on the other hand, lacson and sotto were also not in the opposition as they were tolerant and overlooking the abuses of this administration. both pacquiao and lacson shouldn�t claim that they are against this administration now that an election is coming. it�s self serving.",Darryl Francisco,9/19/2021,5:20 PM
Manny Pacquiao,"You can't even defend your proposed boxing commission why it should be under the direct supervision of the office of the President, then this. Respect for you as a Boxer, big YES. But running for Presidency, a big chuvaness. ","you can't even defend your proposed boxing commission why it should be under the direct supervision of the office of the president, then this. respect for you as a boxer, big yes. but running for presidency, a big chuvaness. ",Jefferson Baloyo,9/19/2021,5:20 PM
Manny Pacquiao,I don't doubt Manny's intentions. I just doubt his capabilities based on his track record sa Congress and Senate. Sana Lang nag give way sya dun sa mga may mga solid track record like Yorme ISKO and VP Leni.,i don't doubt manny's intentions. i just doubt his capabilities based on his track record sa congress and senate. sana lang nag give way sya dun sa mga may mga solid track record like yorme isko and vp leni.,Jeff Marcelo,9/19/2021,5:20 PM
Manny Pacquiao,"hes not capable of being our president. Incompetent senator who is poorly answering senate interpolation. One of the most absences in senate history. no concrete platform. sorry but it seems, public service is turning into a reality show.","hes not capable of being our president. incompetent senator who is poorly answering senate interpolation. one of the most absences in senate history. no concrete platform. sorry but it seems, public service is turning into a reality show.",Lau Bombase,9/19/2021,5:20 PM
Manny Pacquiao,"If it's down to sara vs manny, I'll definitely vote for manny. If there's Leni, I'll vote for Leni. Pero hoping na magbago pa isip ni manny. Although mahahati niya din ang votes ng mga dds, mas maganda sana kung solid tayo against them.","if it's down to sara vs manny, i'll definitely vote for manny. if there's leni, i'll vote for leni. pero hoping na magbago pa isip ni manny. although mahahati niya din ang votes ng mga dds, mas maganda sana kung solid tayo against them.",False-Knowledge8862,9/19/2021,7:17 PM
Norberto Gonzales,Nonesense of statements made by the other Presidential aspirant Honorable Norberto Gonzales. Done his apology & a great move.,Nonesense of statements made by the other Presidential aspirant Honorable Norberto Gonzales. Done his apology & a great move.,Nitz Magsombol,,
Norberto Gonzales,"Voters believes that Presidential Aspirant Norberto Gonzales should try to find a door big enough for him and the 1st, 3rd, 4th, 5th, 6th positions in the polls(for they are one) to EXIT and extricate themselves as quickly as possible so that the�Filipinos can decide for the next president without any vexations to their spirit!??","Voters believes that Presidential Aspirant Norberto Gonzales should try to find a door big enough for him and the 1st, 3rd, 4th, 5th, 6th positions in the polls(for they are one) to EXIT and extricate themselves as quickly as possible so that the�Filipinos can decide for the next president without any vexations to their spirit!??",Louie O VErona,,
Norberto Gonzales,Very unbecoming attitude of an aspiring leader of the country,Very unbecoming attitude of an aspiring leader of the country,Norma Delos Santos,,
Norberto Gonzales,"Wow! Norberto Gonzales for President all the way. The only presidential candidate with a burning passion and love for our country, balanced with ideas on how to achieve a first world Philippines.","Wow! Norberto Gonzales for President all the way. The only presidential candidate with a burning passion and love for our country, balanced with ideas on how to achieve a first world Philippines.",@jepthahIAm,3/26/2022,
Norberto Gonzales,"For those undecided until now, maybe you could consider his profile and know further about him, his advocacy and his platforms for the true and genuine change in our government. #UNDECIDEDNOMORE #NorbertoGonzales #ParliamentSystem #ConstitutionalReform #3PointAgenda","For those undecided until now, maybe you could consider his profile and know further about him, his advocacy and his platforms for the true and genuine change in our government. #UNDECIDEDNOMORE #NorbertoGonzales #ParliamentSystem #ConstitutionalReform #3PointAgenda",@marlonricafort,4/8/2022,
Norberto Gonzales,The way you campaign will show how you govern. #NorbertoGonzales #SMNITheDeepProbe,The way you campaign will show how you govern. #NorbertoGonzales #SMNITheDeepProbe,@RamboaJay,3/26/2022,
Norberto Gonzales,Sharing is caring ????High resolution copies of this P-NBG Cartoon is available here: LET'S ELECT THE BEST!  #NorbertoGonzales #NorbertoGonzales2022 #NorbertoGonzales4President #TeamNorbertoGonzales,Sharing is caring ????High resolution copies of this P-NBG Cartoon is available here: LET'S ELECT THE BEST!  #NorbertoGonzales #NorbertoGonzales2022 #NorbertoGonzales4President #TeamNorbertoGonzales,@condohomes,4/27/2022,
Norberto Gonzales,My ears are all yours. Mr. #NorbertoGonzales,My ears are all yours. Mr. #NorbertoGonzales,@MConan110488,4/17/2022,
Norberto Gonzales,My candidate for the President is @NBGonzalesph he is the only man that will make the Philippines as a first world nation. #teamnorbertogonzales #norbertogonzales #tuloyanglaban #Eleksyon2022,My candidate for the President is @NBGonzalesph he is the only man that will make the Philippines as a first world nation. #teamnorbertogonzales #norbertogonzales #tuloyanglaban #Eleksyon2022,@jcisawesomeguy,5/5/2022,
Norberto Gonzales,"On my desire to make #NorbertoGonzales be known to my acquaintances, subtly ask them who their bet for President, once their answer is UNDECIDED, alam na! I am not paid, just the pure belief and trust of my President's (s�on) intention!","On my desire to make #NorbertoGonzales be known to my acquaintances, subtly ask them who their bet for President, once their answer is UNDECIDED, alam na! I am not paid, just the pure belief and trust of my President's (s�on) intention!",@lalay_dares,4/8/2022,
Norberto Gonzales,The way you campaign will determine how you will govern. -Sec. #NorbertoGonzales ?,The way you campaign will determine how you will govern. -Sec. #NorbertoGonzales ?,@indayclaudia95,3/27/2022,
Norberto Gonzales,#NorbertoGonzales ??is what we need,#NorbertoGonzales ??is what we need,@JoedettePerez,3/28/2022,
Norberto Gonzales,I love Sec Bert! He deserves way better than less than 1% huhuhuhu #NorbertoGonzales #SMNITheDeepProbe,I love Sec Bert! He deserves way better than less than 1% huhuhuhu #NorbertoGonzales #SMNITheDeepProbe,@maesaur,3/26/2022,
Norberto Gonzales,"You deserve all the love, respect, and admiration Sec Norberto Gonzales!?? #NorbertoGonzales #4President","You deserve all the love, respect, and admiration Sec Norberto Gonzales!?? #NorbertoGonzales #4President",@mafeeeenss,3/26/2022,
Norberto Gonzales,Clearly there are a lot of good choices for President. He is one of them #NorbertoGonzales for President,Clearly there are a lot of good choices for President. He is one of them #NorbertoGonzales for President,@thegemvega,3/27/2022,
Norberto Gonzales,My President is Norberto Gonzales! His ideology and advocacies are perfectly congruent to mine! #NorbertoGonzales,My President is Norberto Gonzales! His ideology and advocacies are perfectly congruent to mine! #NorbertoGonzales,@polskidotski,3/26/2022,
Norberto Gonzales,He deserves a place in the next admin's cabinet.We need someone like Sec @NBGonzalesph who has the experience and heart to serve the Filipinos & our country.???? #NorbertoGonzales #BertGonzales #Halalan2022 #BilangPilipino2022 #SMNIpresidentialdebate #smnipresidentialdebate2022,He deserves a place in the next admin's cabinet.We need someone like Sec @NBGonzalesph who has the experience and heart to serve the Filipinos & our country.???? #NorbertoGonzales #BertGonzales #Halalan2022 #BilangPilipino2022 #SMNIpresidentialdebate #smnipresidentialdebate2022,@queenclaireg,2/17/2022,
Ping Lacson,"Isn't his child an accused smuggler? As long as there's a shady background, It's a no for me.","Isn't his child an accused smuggler? As long as there's a shady background, It's a no for me.",@skrumian,10/10/2021,
Ping Lacson,he was part of the metrocomm who tortured people during the martial law period.. he didnt showed any remorse.. his loyalty swings like a pendulum..,he was part of the metrocomm who tortured people during the martial law period.. he didnt showed any remorse.. his loyalty swings like a pendulum..,@iwritethesongs2019,12/5/2021,
Ping Lacson,He's a criminal. end of story,He's a criminal. end of story,@mabangokilikili,,
Ping Lacson," Ping has a wide experience in gov't. He has no corruption ghosts. He exudes a firm conviction in law enforcement. He has a strong character and resolve. He has a long experience in the legislative issues and a proven experience in national security. He has a hard road ahead, but still have a good chance"," Ping has a wide experience in gov't. He has no corruption ghosts. He exudes a firm conviction in law enforcement. He has a strong character and resolve. He has a long experience in the legislative issues and a proven experience in national security. He has a hard road ahead, but still have a good chance",@johncruz7895,,
Ping Lacson,NO to Lacson for 2022.Remember he is an exconvict,NO to Lacson for 2022.Remember he is an exconvict,@juliettorres310,9/20/2021,
Ping Lacson,"Ping, don't fool us. You still have a pending Dacer-Corbito case waving.","Ping, don't fool us. You still have a pending Dacer-Corbito case waving.",@edwardmarshall5669,8/5/2021,
Ping Lacson,"These two really have thick faces. In the time you've been in the Senate, what has happened? You should have retired by now!","These two really have thick faces. In the time you've been in the Senate, what has happened? You should have retired by now!",@pher-wo9wm,11/21/2021,
Ping Lacson,"Senator Ping, you're truly intelligent and have a heart for our country and its citizens. The explanations you provided are only now known by many. You have plans and love for our nation. Thank you.","Senator Ping, you're truly intelligent and have a heart for our country and its citizens. The explanations you provided are only now known by many. You have plans and love for our nation. Thank you.",@rei_on_blitz9248,11/22/2021,
Ping Lacson,I will vote for you Senator Lacson. I am 101% sure that you will make a change once you become the country's President.,I will vote for you Senator Lacson. I am 101% sure that you will make a change once you become the country's President.,@kaloyboboyoc8374,1/29/2022,
Ping Lacson,"Senator Ping, it will start with you! We can definitely do it; ""mananalo tayo""!","Senator Ping, it will start with you! We can definitely do it; ""mananalo tayo""!",@krugersavage6347,9/3/2021,
Ping Lacson,"I appreciate that he is very level-headed (his stances are inclined toward what is right?neutral to any involved party), self-disciplined (remarkably desirable as a man at 74!), principled and sincere, intelligent, and articulate. ","I appreciate that he is very level-headed (his stances are inclined toward what is right?neutral to any involved party), self-disciplined (remarkably desirable as a man at 74!), principled and sincere, intelligent, and articulate. ",@FA-yf2qx,12/2/2021,
Ping Lacson,"Senator Lacson is the deserving winner. He is a good leader, truly trustworthy.","Senator Lacson is the deserving winner. He is a good leader, truly trustworthy.",@lovelylotto8757,9/10/2021,
Ping Lacson,"Even if you win, you're useless.","Even if you win, you're useless.",@mommydona,6/8/2021,
Ping Lacson,"Sen. Ping Lacson is a well-known graftbuster and a respected lawmaker. He is a very qualified Presidential candidate. His integrity is beyond question, but winnable? It is high time that voter's should think many times who are the Presidential Candidates fitted for the position. We should not vote for a President whose only main qualifications is they are the sons or daughters of past and present presidents, but should be competent, hardworking and AKSYON AGAD leadership. Sen. Ping Lacson is the right choice for the Presidency..Mayor Isko Moreno may also be a good choice. It will depend on an individual preference.","Sen. Ping Lacson is a well-known graftbuster and a respected lawmaker. He is a very qualified Presidential candidate. His integrity is beyond question, but winnable? It is high time that voter's should think many times who are the Presidential Candidates fitted for the position. We should not vote for a President whose only main qualifications is they are the sons or daughters of past and present presidents, but should be competent, hardworking and AKSYON AGAD leadership. Sen. Ping Lacson is the right choice for the Presidency..Mayor Isko Moreno may also be a good choice. It will depend on an individual preference.",@miguelmaghari124,7/10/2021,
Ping Lacson,Senator Ping Lacson is an option for another hardliner to put the country in the right direction because there are still many Filipinos who need to be disciplined or corrected in our beloved country.,Senator Ping Lacson is an option for another hardliner to put the country in the right direction because there are still many Filipinos who need to be disciplined or corrected in our beloved country.,@florencior.delrosario2550,,
